epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1371,1.7376,3.75642,2.01227,0.00309,0.92593,0.19306,0.05322,1.33683,4.74615,2.12986,0.000636364,0.000636364,0.000636364
2,149.308,1.11408,3.08449,1.54243,0.57582,0.37037,0.43814,0.1215,1.23145,4.33483,1.87193,0.00128691,0.00128691,0.00128691
3,221.716,1.14007,2.79574,1.57855,0.27722,0.25926,0.17857,0.06173,1.51245,4.92806,1.79339,0.00192095,0.00192095,0.00192095
4,294.688,1.12328,2.36777,1.53723,0.49536,0.36385,0.39481,0.16982,1.44402,5.74809,3.55424,0.00192575,0.00192575,0.00192575
5,370.311,1.29031,2.4807,1.72656,0.4496,0.55556,0.46969,0.24755,1.28557,4.32531,1.85615,0.001901,0.001901,0.001901
6,442.997,0.97627,2.24829,1.50024,0.43393,0.62473,0.51861,0.29122,1.20714,4.54716,1.6663,0.00187625,0.00187625,0.00187625
7,516.539,0.87613,1.96851,1.36614,0.1386,0.40741,0.19289,0.10201,2.09349,11.9759,2.33286,0.0018515,0.0018515,0.0018515
8,588.33,0.98309,2.04512,1.43641,0.5187,0.55556,0.51845,0.2379,1.34492,6.76849,1.48773,0.00182675,0.00182675,0.00182675
9,661.365,0.88007,1.90854,1.42763,0.49494,0.59259,0.47503,0.19317,1.26228,6.15478,1.73776,0.001802,0.001802,0.001802
10,733.396,0.85498,2.0145,1.41084,0.19752,0.73843,0.2883,0.12265,2.10555,4.87759,2.14425,0.00177725,0.00177725,0.00177725
11,806.092,0.80643,1.83681,1.3183,0.613,0.74074,0.72135,0.39557,0.94906,3.93951,1.38088,0.0017525,0.0017525,0.0017525
12,877.534,0.79211,1.61162,1.2969,0.79691,0.77778,0.83044,0.53802,0.89195,3.30307,1.31097,0.00172775,0.00172775,0.00172775
13,949.48,0.79705,1.69249,1.30206,0.3967,0.55556,0.50128,0.38991,0.93372,3.49287,1.18971,0.001703,0.001703,0.001703
14,1021.51,0.68964,1.59831,1.20691,0.94113,0.81481,0.90872,0.69846,0.80702,2.38329,1.09547,0.00167825,0.00167825,0.00167825
15,1094.48,0.68032,1.57583,1.3014,0.95948,0.87736,0.91012,0.64988,0.98324,2.36915,1.09726,0.0016535,0.0016535,0.0016535
16,1166.1,0.68037,1.38542,1.17671,1,0.92392,0.925,0.67841,0.94997,2.14798,1.10281,0.00162875,0.00162875,0.00162875
17,1239.44,0.59231,1.28442,1.11822,0.98319,0.92593,0.925,0.67444,0.88444,1.93288,1.12816,0.001604,0.001604,0.001604
18,1311.62,0.60566,1.37521,1.2236,0.88047,0.85185,0.90607,0.72018,0.834,2.02866,0.98714,0.00157925,0.00157925,0.00157925
19,1382.94,0.62841,1.1771,1.16491,0.99767,0.92593,0.925,0.74449,0.7551,1.72891,0.92139,0.0015545,0.0015545,0.0015545
20,1454.89,0.6228,1.26059,1.14867,0.98861,0.92593,0.925,0.71864,0.79698,1.7547,0.96946,0.00152975,0.00152975,0.00152975
21,1528.27,0.62279,1.13128,1.17585,0.99235,0.92593,0.9253,0.74132,0.78176,1.65014,0.97429,0.001505,0.001505,0.001505
22,1600.61,0.56703,1.05611,1.12014,0.99627,0.92593,0.92519,0.73974,0.82317,1.68152,1.02359,0.00148025,0.00148025,0.00148025
23,1670.48,0.5751,1.03726,1.1345,0.98469,0.92593,0.92516,0.73114,0.74642,1.43211,0.97162,0.0014555,0.0014555,0.0014555
24,1741.45,0.53626,0.9962,1.123,0.99604,0.92593,0.925,0.70186,0.84097,1.56078,1.08174,0.00143075,0.00143075,0.00143075
25,1812.01,0.55363,1.00618,1.10101,0.9943,0.92593,0.925,0.74489,0.6967,1.36342,0.9449,0.001406,0.001406,0.001406
26,1883.19,0.5255,0.9531,1.11052,0.94871,0.92593,0.92268,0.74904,0.6696,1.54779,0.96282,0.00138125,0.00138125,0.00138125
27,1954.69,0.49384,0.91394,1.08672,1,0.92461,0.92561,0.74094,0.67789,1.50854,1.00521,0.0013565,0.0013565,0.0013565
