epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0734,1.87267,4.15101,1.88698,0.00313,0.9375,0.3024,0.16959,2.11524,4.81559,2.16298,0.000645833,0.000645833,0.000645833
2,74.6732,1.36861,3.48095,1.54195,0.19557,0.4375,0.34133,0.14582,1.74534,4.25314,2.14431,0.00130384,0.00130384,0.00130384
3,41793.2,1.38419,3.05559,1.58299,0.5471,0.5625,0.45413,0.23018,1.75049,3.88581,2.30692,0.00195304,0.00195304,0.00195304
4,41829.8,1.2417,2.87221,1.51736,0.15404,0.375,0.12975,0.03648,2.00354,5.20274,2.80714,0.0019604,0.0019604,0.0019604
5,41864.7,1.22639,3.22959,1.5037,0.17125,0.5625,0.1966,0.08982,2.10116,13.1839,2.81407,0.0019472,0.0019472,0.0019472
6,41901.7,1.09695,2.8534,1.38089,0.34152,0.4375,0.3224,0.24505,1.92945,4.84963,2.40403,0.001934,0.001934,0.001934
7,41942,1.28986,2.88342,1.50235,0.43595,0.375,0.31493,0.2172,2.35432,5.30774,3.05338,0.0019208,0.0019208,0.0019208
8,41979,1.29365,2.74143,1.53158,0.51832,0.67309,0.62921,0.32058,1.48717,4.3673,2.23141,0.0019076,0.0019076,0.0019076
9,42021.1,1.13184,2.5946,1.40175,0.90316,0.4375,0.62701,0.33757,1.3878,5.91114,2.09765,0.0018944,0.0018944,0.0018944
10,42085.5,1.00659,2.06697,1.26412,0.29834,0.4375,0.46379,0.32378,1.35969,9.49517,1.89542,0.0018812,0.0018812,0.0018812
11,42148.8,0.83314,2.02468,1.19324,0.58927,0.625,0.69565,0.54298,1.06092,8.86307,1.73367,0.001868,0.001868,0.001868
12,42212.2,0.87924,2.14669,1.26271,0.63792,0.625,0.60356,0.44797,1.1548,4.24641,1.65343,0.0018548,0.0018548,0.0018548
13,42275.2,0.96179,2.1051,1.27719,0.75715,0.6875,0.76194,0.53346,1.2013,2.63434,1.60992,0.0018416,0.0018416,0.0018416
14,42335.7,0.95087,1.99641,1.33573,0.63423,0.9375,0.85846,0.56339,1.20174,3.18191,1.75888,0.0018284,0.0018284,0.0018284
15,42397.2,0.86315,1.95362,1.20237,0.69559,0.85753,0.81729,0.5191,1.1262,3.62111,1.63051,0.0018152,0.0018152,0.0018152
16,42456.3,0.86884,1.80912,1.16889,0.66818,0.6875,0.74077,0.43334,1.20607,3.07757,1.35908,0.001802,0.001802,0.001802
17,42516.3,0.92115,1.95204,1.16151,0.92324,0.4375,0.58738,0.49396,1.50917,3.01439,1.59385,0.0017888,0.0017888,0.0017888
18,42578,0.81585,1.74775,1.20281,0.77838,0.65967,0.67992,0.53193,1.55901,3.37856,1.59701,0.0017756,0.0017756,0.0017756
19,42638.5,0.93731,1.87175,1.30274,0.54497,0.75,0.6755,0.47062,1.14466,6.45786,1.4607,0.0017624,0.0017624,0.0017624
20,42698,0.73755,1.69612,1.18861,0.69391,0.70929,0.81049,0.55045,1.01218,5.01412,1.32631,0.0017492,0.0017492,0.0017492
21,42757.9,0.76148,1.43497,1.10442,0.82951,0.9131,0.92383,0.66876,0.87475,3.09816,1.25414,0.001736,0.001736,0.001736
22,42819.6,0.78457,1.60564,1.19312,0.91752,0.875,0.94475,0.65904,0.89483,2.54604,1.28167,0.0017228,0.0017228,0.0017228
23,42885,0.7739,1.67056,1.18572,0.75638,0.6875,0.81955,0.5392,1.33174,3.30852,1.60915,0.0017096,0.0017096,0.0017096
24,42945.5,0.79207,1.57973,1.16409,0.71676,1,0.91227,0.62276,1.0612,2.56649,1.43146,0.0016964,0.0016964,0.0016964
25,43006.6,0.77497,1.42212,1.13126,0.63324,0.875,0.84982,0.53996,1.10581,2.99853,1.51986,0.0016832,0.0016832,0.0016832
26,43066.4,0.77383,1.53481,1.18944,0.82919,0.9375,0.95138,0.74257,0.90358,2.21852,1.26743,0.00167,0.00167,0.00167
27,43126.9,0.77064,1.40143,1.1382,0.98128,0.8125,0.9275,0.67097,0.97578,2.00938,1.32468,0.0016568,0.0016568,0.0016568
28,43188.4,0.77791,1.33331,1.10788,1,0.74627,0.87897,0.64802,1.0025,2.01051,1.37831,0.0016436,0.0016436,0.0016436
29,43247.7,0.75345,1.36408,1.12096,0.78886,0.9375,0.94316,0.68954,0.87583,2.1506,1.2465,0.0016304,0.0016304,0.0016304
30,43307.1,0.73628,1.4681,1.17992,0.73668,0.9375,0.8543,0.58327,0.84844,2.94426,1.42884,0.0016172,0.0016172,0.0016172
31,43366.3,0.79613,1.42142,1.2177,0.65285,0.625,0.74844,0.58127,0.81588,2.7545,1.39255,0.001604,0.001604,0.001604
32,43425.9,0.83136,1.37525,1.13627,0.87146,0.75,0.88588,0.71176,0.79583,2.09664,1.34566,0.0015908,0.0015908,0.0015908
33,43485.5,0.886,1.44134,1.20368,0.87558,0.875,0.9595,0.79656,0.74592,1.66095,1.27579,0.0015776,0.0015776,0.0015776
34,43545,0.72982,1.31106,1.15993,0.75863,0.98282,0.90531,0.70675,0.80038,1.80522,1.29318,0.0015644,0.0015644,0.0015644
35,43603.6,0.61987,1.07799,1.0109,0.71936,1,0.88599,0.70453,0.76889,2.15919,1.26153,0.0015512,0.0015512,0.0015512
36,43661.9,0.72248,1.22287,1.13484,0.68563,0.875,0.81221,0.60311,0.81032,2.85939,1.23741,0.001538,0.001538,0.001538
37,43720.7,0.62892,1.08665,1.06343,0.71746,1,0.7995,0.61649,0.67143,2.24515,1.13187,0.0015248,0.0015248,0.0015248
38,43779.6,0.66192,1.18354,1.09758,0.69227,0.875,0.85161,0.65281,0.73661,2.0661,1.15611,0.0015116,0.0015116,0.0015116
39,43838.9,0.65293,1.14582,1.07859,0.77718,0.87212,0.88737,0.66476,0.80083,1.91942,1.22518,0.0014984,0.0014984,0.0014984
40,43898.3,0.58116,1.15654,1.04637,0.78636,1,0.89335,0.66325,0.82131,2.02153,1.34393,0.0014852,0.0014852,0.0014852
41,43958.5,0.64949,1.09593,1.09485,0.72146,1,0.76788,0.56174,0.84812,2.25272,1.45248,0.001472,0.001472,0.001472
42,44018.2,0.60504,1.03951,1.09596,0.75209,1,0.83754,0.64268,0.7854,1.89587,1.36705,0.0014588,0.0014588,0.0014588
43,44076.3,0.57881,1.04496,1.0226,0.78328,1,0.92143,0.71537,0.85034,1.5716,1.3228,0.0014456,0.0014456,0.0014456
44,44135.6,0.60168,0.94087,1.02891,0.77786,0.9375,0.8871,0.68598,0.89586,1.50431,1.24177,0.0014324,0.0014324,0.0014324
45,44196,0.62203,0.99332,1.05849,0.74712,0.92381,0.86975,0.65727,0.94869,1.50877,1.21626,0.0014192,0.0014192,0.0014192
46,44255.7,0.57756,0.90345,0.98548,0.80873,0.9375,0.90005,0.68313,0.85197,1.48536,1.21936,0.001406,0.001406,0.001406
47,44315.1,0.62269,1.06545,1.07405,0.74567,0.9375,0.89244,0.69389,0.79824,1.43279,1.21505,0.0013928,0.0013928,0.0013928
48,44375.8,0.70941,1.02244,1.06984,0.82341,0.9375,0.91177,0.67738,0.7767,1.27073,1.18087,0.0013796,0.0013796,0.0013796
49,44435.3,0.5956,1.02192,1.06281,0.75205,0.94825,0.91215,0.69017,0.87304,1.32045,1.20517,0.0013664,0.0013664,0.0013664
50,44494.4,0.61506,0.91214,1.05347,0.76051,0.9375,0.92532,0.7017,0.92458,1.29568,1.20768,0.0013532,0.0013532,0.0013532
51,44552.5,0.62961,0.89501,1.061,0.84019,0.98639,0.92981,0.69416,0.85788,1.29668,1.17913,0.00134,0.00134,0.00134
52,44611.6,0.62508,0.94401,1.03743,0.84122,0.99367,0.96855,0.72883,0.89742,1.28831,1.3172,0.0013268,0.0013268,0.0013268
53,44672.2,0.64883,1.02979,1.12403,0.79758,0.98564,0.94567,0.76286,0.80816,1.33638,1.25496,0.0013136,0.0013136,0.0013136
54,44731.6,0.5537,0.85696,0.98663,0.86242,1,0.98167,0.81504,0.70019,1.16682,1.10469,0.0013004,0.0013004,0.0013004
55,44791.9,0.6551,0.95691,1.09716,0.93374,1,0.98029,0.85273,0.61209,0.99909,1.02495,0.0012872,0.0012872,0.0012872
56,44852.8,0.57711,0.88132,1.03709,0.93646,1,0.98441,0.87421,0.61238,0.99964,1.02043,0.001274,0.001274,0.001274
57,44911.8,0.55711,0.88217,1.0075,0.90658,1,0.98029,0.87323,0.60048,1.05717,1.01838,0.0012608,0.0012608,0.0012608
58,44971.8,0.61974,1.0309,1.08198,1,0.84771,0.97605,0.85346,0.60789,1.0681,1.0084,0.0012476,0.0012476,0.0012476
59,45030.7,0.58011,0.90193,1.0376,1,0.99617,0.995,0.83927,0.61419,1.02965,1.00028,0.0012344,0.0012344,0.0012344
60,45090.4,0.54679,0.8508,1.01846,0.87316,1,0.98458,0.82977,0.6147,1.07241,1.00271,0.0012212,0.0012212,0.0012212
61,45149.9,0.61366,0.96834,1.08156,0.92668,0.9375,0.98178,0.79572,0.63099,1.14808,1.00775,0.001208,0.001208,0.001208
62,45210.3,0.71331,0.98743,1.17675,1,0.99882,0.995,0.82472,0.6791,0.96246,1.02478,0.0011948,0.0011948,0.0011948
63,45271.3,0.53999,0.86659,1.03207,0.98377,1,0.995,0.82753,0.69109,0.92695,1.04422,0.0011816,0.0011816,0.0011816
