epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.692,1.87267,4.15101,1.88698,0.00313,0.9375,0.3024,0.16959,2.11524,4.81559,2.16298,0.000645833,0.000645833,0.000645833
2,129.516,1.37064,3.48751,1.54368,0.2014,0.4375,0.33801,0.14589,1.74401,4.2549,2.16021,0.00129951,0.00129951,0.00129951
3,192.454,1.37097,3.04389,1.58191,0.7481,0.55727,0.54088,0.29561,1.66686,3.91046,2.16917,0.00193998,0.00193998,0.00193998
4,257.396,1.25088,2.93029,1.49134,0.1004,0.25,0.08001,0.02258,2.04809,5.05053,2.92718,0.0019406,0.0019406,0.0019406
5,316.334,1.30443,3.39176,1.59033,0.99177,0.3125,0.39204,0.2827,2.19633,7.05066,3.02852,0.0019208,0.0019208,0.0019208
6,377.247,1.15684,3.06857,1.44694,0.6485,0.375,0.41443,0.31011,1.52546,4.18521,2.28296,0.001901,0.001901,0.001901
7,437.386,1.18855,2.76135,1.47343,0.85009,0.4375,0.53822,0.37266,1.6506,3.83891,1.99579,0.0018812,0.0018812,0.0018812
8,498.488,1.05447,2.53921,1.40582,0.40826,0.6875,0.50408,0.29991,1.61234,4.60433,2.04804,0.0018614,0.0018614,0.0018614
9,558.026,0.99559,2.55436,1.34099,0.25554,0.5625,0.29654,0.19705,1.41599,5.59732,2.00213,0.0018416,0.0018416,0.0018416
10,618.204,0.87804,2.03159,1.19645,0.65129,0.5,0.69572,0.50973,1.09175,4.56743,1.52526,0.0018218,0.0018218,0.0018218
11,677.599,0.85274,1.95565,1.16097,0.64102,0.4375,0.50576,0.33871,2.3828,5.12661,2.37234,0.001802,0.001802,0.001802
12,737.888,1.10116,2.33183,1.39836,0.02541,0.4375,0.03355,0.02596,0.98553,19.0375,1.46398,0.0017822,0.0017822,0.0017822
13,799.051,1.10433,2.20422,1.33876,0.10541,0.4375,0.159,0.1235,0.94961,10.0856,1.40708,0.0017624,0.0017624,0.0017624
14,864.932,0.9512,2.08903,1.29687,0.68336,0.67509,0.72162,0.49304,1.27896,3.59656,1.6282,0.0017426,0.0017426,0.0017426
15,925.837,0.87762,1.98969,1.20853,0.69944,0.4375,0.61363,0.47506,1.26332,3.68865,1.71561,0.0017228,0.0017228,0.0017228
16,985.917,0.85387,1.93392,1.18217,0.77714,0.4375,0.54532,0.45383,1.45203,4.39055,1.49803,0.001703,0.001703,0.001703
17,1047.2,0.91159,1.96562,1.17694,0.77514,0.64741,0.73196,0.56668,1.24496,3.46312,1.36816,0.0016832,0.0016832,0.0016832
18,1108.41,0.80322,1.71341,1.18572,0.68612,0.8125,0.85793,0.60356,1.12565,3.89346,1.31248,0.0016634,0.0016634,0.0016634
19,1169.64,0.93449,1.83845,1.30071,0.55509,0.6875,0.79941,0.56469,1.04766,4.49417,1.33996,0.0016436,0.0016436,0.0016436
20,1228.92,0.81213,1.72698,1.27337,0.78095,0.5625,0.67988,0.4957,1.77032,4.9698,1.95836,0.0016238,0.0016238,0.0016238
21,1288.68,0.81321,1.5664,1.15554,0.61125,0.9375,0.86206,0.58904,0.97001,2.22874,1.29534,0.001604,0.001604,0.001604
22,1348.29,0.83466,1.5722,1.22663,1,0.79206,0.96658,0.63968,0.99844,2.2132,1.25502,0.0015842,0.0015842,0.0015842
23,1408.43,0.82016,1.61481,1.19144,0.92312,0.8125,0.92356,0.64663,0.97539,2.08192,1.23938,0.0015644,0.0015644,0.0015644
24,1468.72,0.76484,1.54386,1.16667,0.93662,0.92433,0.95366,0.71613,0.78551,2.03264,1.24592,0.0015446,0.0015446,0.0015446
25,1528.31,0.74414,1.37385,1.1206,0.9314,0.84963,0.9223,0.68141,0.72437,2.03978,1.27889,0.0015248,0.0015248,0.0015248
26,1587.97,0.7453,1.47655,1.13691,0.82429,0.9375,0.95114,0.69337,0.78166,1.92622,1.26023,0.001505,0.001505,0.001505
27,1647.66,0.77181,1.40426,1.10111,0.86791,0.75,0.91279,0.68451,0.80747,1.84188,1.20741,0.0014852,0.0014852,0.0014852
28,1707.59,0.74339,1.32318,1.12473,0.66798,0.9375,0.89571,0.70016,0.88913,1.75695,1.18809,0.0014654,0.0014654,0.0014654
29,1766.85,0.69326,1.35226,1.07676,0.67836,0.75,0.81744,0.60949,1.00946,1.85595,1.22526,0.0014456,0.0014456,0.0014456
30,1826.84,0.69217,1.38878,1.11057,0.6368,1,0.84875,0.63295,0.93799,1.99395,1.29971,0.0014258,0.0014258,0.0014258
31,1886.63,0.81448,1.35377,1.18509,0.75393,0.95814,0.84283,0.58051,0.68681,2.6316,1.26357,0.001406,0.001406,0.001406
32,1946.53,0.82098,1.3699,1.11671,0.91237,0.9375,0.93396,0.69109,0.66704,1.74178,1.21045,0.0013862,0.0013862,0.0013862
33,2005.48,0.81234,1.42507,1.15076,0.83737,0.96626,0.94695,0.75113,0.68418,1.44083,1.15957,0.0013664,0.0013664,0.0013664
34,2066.16,0.67491,1.28401,1.11888,0.75889,0.98418,0.95183,0.75322,0.66874,1.58518,1.12459,0.0013466,0.0013466,0.0013466
35,2125.27,0.61317,1.06367,1.00146,0.83612,1,0.9658,0.70497,0.68101,1.77951,1.11873,0.0013268,0.0013268,0.0013268
36,2184.64,0.67008,1.19244,1.08221,0.75995,1,0.9363,0.7123,0.69783,1.79374,1.12488,0.001307,0.001307,0.001307
37,2245.24,0.59657,1.01539,1.03525,0.77943,0.9375,0.91255,0.71083,0.7715,1.52408,1.08149,0.0012872,0.0012872,0.0012872
38,2305.69,0.65511,1.12306,1.07211,0.7473,1,0.92348,0.71699,0.73808,1.46357,1.0486,0.0012674,0.0012674,0.0012674
39,2365.88,0.66473,1.12813,1.07109,0.79547,0.75,0.90267,0.70824,0.63409,1.5149,1.01382,0.0012476,0.0012476,0.0012476
40,2425.16,0.58425,1.15814,1.03113,0.79753,1,0.87933,0.69153,0.55936,1.63703,1.0335,0.0012278,0.0012278,0.0012278
41,2486.45,0.64986,1.04999,1.04563,0.79696,1,0.84733,0.65871,0.65032,1.91657,1.05083,0.001208,0.001208,0.001208
42,2546.39,0.60729,1.0362,1.06839,0.76171,1,0.9321,0.72911,0.64958,1.46327,1.05754,0.0011882,0.0011882,0.0011882
43,2605.56,0.53455,1.0058,0.99311,0.8448,0.875,0.93989,0.73919,0.69449,1.36162,1.09315,0.0011684,0.0011684,0.0011684
44,2665.12,0.59171,0.92721,1.01041,0.74549,0.9375,0.93382,0.72966,0.77796,1.46335,1.11379,0.0011486,0.0011486,0.0011486
45,2724.19,0.61313,0.97098,1.05058,0.74155,0.9375,0.92189,0.72256,0.74546,1.54842,1.14516,0.0011288,0.0011288,0.0011288
46,2783.67,0.53318,0.86793,0.96131,0.81822,0.84489,0.90874,0.65748,0.7316,1.67517,1.16888,0.001109,0.001109,0.001109
47,2843.84,0.5865,1.0744,1.03101,0.83697,0.9375,0.93231,0.73403,0.70559,1.36371,1.12255,0.0010892,0.0010892,0.0010892
48,2904.24,0.69232,1.05983,1.08567,0.92847,0.81138,0.94306,0.77763,0.74257,1.24138,1.13123,0.0010694,0.0010694,0.0010694
