epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2775,2.82379,8.90914,0.70297,3.33069,2.41066,0.27725,0.4375,0.23768,0.07259,0,0,0,0,2.6311,9.36189,0.69562,2.47806,2.1393,0.000645833,0.000645833,0.000645833
2,36.4427,2.13335,8.10846,0.71449,2.41373,1.93255,0.01625,0.0625,0.01409,0.0037,0,0,0,0,3.20265,9.12654,0.66339,4.11106,3.27975,0.001306,0.001306,0.001306
3,54.6829,1.98438,8.2564,0.67946,2.3006,1.83963,0.49343,0.375,0.37886,0.09951,0,0,0,0,2.61463,8.35389,0.57985,3.06268,2.39764,0.00195957,0.00195957,0.00195957
4,72.7085,1.9627,8.14296,0.66025,2.02802,1.80565,0.1343,0.62061,0.16539,0.0762,0.00174,0.1875,0.00154,0.00045,1.89497,9.28669,0.52983,2.1082,2.45252,0.0019703,0.0019703,0.0019703
5,91.3747,2.06151,7.83683,0.65972,2.04936,1.79668,0.59368,0.6875,0.59877,0.36958,0,0,0,0,1.95532,7.66981,0.42955,2.24778,1.98027,0.0019604,0.0019604,0.0019604
6,109.79,1.90962,7.47403,0.67379,1.89898,1.71012,0.52858,0.5625,0.48991,0.19511,0,0,0,0,2.09637,8.04585,0.46689,2.26737,2.15314,0.0019505,0.0019505,0.0019505
7,128.378,1.76931,7.65456,0.66769,1.68791,1.66702,0.79646,0.5625,0.6424,0.45458,0,0,0,0,1.36202,7.82261,0.44539,1.84912,1.60108,0.0019406,0.0019406,0.0019406
8,148.079,1.52528,7.52668,0.67093,1.5533,1.55056,0.6304,0.53416,0.52473,0.25913,0,0,0,0,2.56609,7.31878,0.49841,5.17792,2.87306,0.0019307,0.0019307,0.0019307
9,167.008,1.46809,7.27331,0.66098,1.40709,1.44686,0.9046,0.59414,0.67824,0.48316,0,0,0,0,1.7744,6.7284,0.50978,2.50234,2.15118,0.0019208,0.0019208,0.0019208
10,185.31,1.36288,7.30197,0.70712,1.36484,1.44788,0.89316,0.6875,0.66938,0.46619,0.14939,0.0625,0.01625,0.00163,2.17626,7.21852,0.58959,1.72122,2.10805,0.0019109,0.0019109,0.0019109
11,203.907,1.45708,6.73802,0.67918,1.39385,1.50436,0.59852,0.375,0.40991,0.24159,0.02978,0.125,0.00521,0.00052,1.83567,6.91471,0.61983,2.29669,2.41882,0.001901,0.001901,0.001901
12,222.633,1.48222,7.29391,0.67855,1.56172,1.50393,0.68782,0.6875,0.69015,0.47653,0.44205,0.25,0.20826,0.0235,1.5512,6.02149,0.66383,1.73503,2.01333,0.0018911,0.0018911,0.0018911
13,241.508,1.32636,7.26779,0.65793,1.29165,1.42739,0.8932,0.625,0.78724,0.52417,0.03147,0.125,0.0083,0.00097,1.43192,6.56123,0.63502,1.55295,1.93624,0.0018812,0.0018812,0.0018812
14,259.997,1.30159,7.12144,0.652,1.34181,1.39416,0.60944,0.875,0.75542,0.45471,0.2715,0.25,0.14843,0.01872,1.4422,5.77386,0.60108,2.06822,1.83379,0.0018713,0.0018713,0.0018713
15,278.144,1.21375,6.9628,0.64592,1.13351,1.31157,0.79023,0.75,0.86729,0.47534,0.32894,0.1875,0.1295,0.01391,1.48899,6.16469,0.57165,2.25177,2.07979,0.0018614,0.0018614,0.0018614
16,296.812,1.09664,6.82314,0.65732,1.06006,1.28914,0.95173,0.8125,0.92981,0.65114,0.39545,0.3125,0.20859,0.02785,1.17324,5.77957,0.53638,2.49177,1.91865,0.0018515,0.0018515,0.0018515
17,316.647,1.16838,7.18488,0.64073,1.10304,1.3322,0.83078,0.875,0.90891,0.69403,0.43005,0.5,0.22,0.02927,1.01868,5.48154,0.51159,1.61359,1.39681,0.0018416,0.0018416,0.0018416
18,336.549,1.22074,6.90148,0.63105,1.17776,1.41065,0.92924,0.82132,0.90863,0.64924,0.50051,0.5,0.28733,0.0528,1.11012,5.49582,0.49543,1.06071,1.39203,0.0018317,0.0018317,0.0018317
